Kode,Teks Pertanyaan Observasi,Kategori,Kelompok Usia
L2,Suka berdebat secara logis mengenai suatu topik dengan orang tua atau guru,General Intellectual,late_elementary
L20,Mampu menciptakan gerakan tari atau melodi lagu sederhana sendiri,Visual & Performing Arts,late_elementary
L21,"Menguasai teknik dasar olahraga tim (seperti sepak bola, basket, atau bulu tangkis)",Psychomotor,late_elementary
L22,"Memiliki kelincahan, kekuatan, dan daya tahan fisik yang menonjol dalam olahraga",Psychomotor,late_elementary
L23,Suka membongkar dan memperbaiki mainan mekanik atau barang elektronik yang rusak,Psychomotor,late_elementary
L24,"Memiliki ketelitian tinggi dalam menjahit, merakit model miniatur, atau kerajinan tangan presisi",Psychomotor,late_elementary
L3,Suka membaca novel anak atau artikel pengetahuan yang panjang,General Intellectual,late_elementary
L4,Mampu menulis karangan atau esai pendek dengan alur pemikiran yang runtut,General Intellectual,late_elementary
L5,"Cepat memahami materi matematika sekolah yang kompleks (pecahan desimal, bangun ruang)",Specific Academic,late_elementary
L6,Mampu membaca dan membuat grafik atau tabel sederhana secara mandiri,Specific Academic,late_elementary
L7,Suka melakukan eksperimen sains sekolah dan antusias mencatat hasilnya,Specific Academic,late_elementary
L8,"Tertarik pada teknologi baru, pemrograman komputer dasar, atau robotik",Specific Academic,late_elementary
L9,"Suka mendesain sesuatu (misal poster digital, maket rumah, atau pakaian boneka)",Creative Thinking,late_elementary
C1,Dapat menirukan kalimat sederhana dengan jelas,General Intellectual,preschool
C10,"Menggunakan kata tanya (apa, mengapa, dimana, berapa, bagaimana) dengan tepat",General Intellectual,preschool
C11,Bercerita secara runtut tentang gambar yang disediakan atau buatannya sendiri,General Intellectual,preschool
C12,"Aktif menggunakan kata ganti orang (aku, saya, kamu, mereka) dalam bercakap",General Intellectual,preschool
C13,Menceritakan kembali pengalaman menarik atau kejadian sederhana yang dialaminya,General Intellectual,preschool
C14,Memberikan keterangan lengkap atau informasi spontan tentang suatu hal,General Intellectual,preschool
C15,Dapat menyebutkan urutan bilangan 1 sampai 10 secara runtut,Specific Academic,preschool
C16,Dapat menunjuk lambang bilangan 1 sampai 10 yang ditulis acak,Specific Academic,preschool
C17,Meniru penulisan lambang bilangan 1 sampai 10,Specific Academic,preschool
C18,Mengenal dan menyebutkan lambang bilangan 1 sampai 20,Specific Academic,preschool
C19,Membedakan dan membentuk dua kumpulan benda berdasarkan jumlah kuantitasnya,Specific Academic,preschool
C2,Dapat meniru kembali 4-5 urutan kata yang didengar,General Intellectual,preschool
C20,"Mengenal perbedaan bentuk geometri benda (bulat, segitiga, kotak)",Specific Academic,preschool
C21,Mencoba mencampur warna cat dan antusias menceritakan perubahan warnanya,Specific Academic,preschool
C22,Suka bereksperimen menaruh benda ke air lalu menceritakan peristiwa tenggelam/terapung,Specific Academic,preschool
C23,Menirukan dan menceritakan macam-macam bunyi alam atau kendaraan sekitar,Specific Academic,preschool
C24,"Mengenali dan menceritakan perbedaan macam-macam rasa makanan (manis, pahit, dll)",Specific Academic,preschool
C25,Menceritakan berbagai jenis bau wewangian atau bau tak sedap secara spesifik,Specific Academic,preschool
C26,Mau mengungkapkan pendapat pribadinya secara sederhana dalam diskusi,Creative Thinking,preschool
C27,Menjawab pertanyaan dengan antusias ketika dimintai informasi atau keterangan,Creative Thinking,preschool
C28,Spontan menyapa teman sebaya maupun orang dewasa yang dikenalnya,Creative Thinking,preschool
C29,Mengucapkan salam saat masuk ruangan atau bertemu orang lain,Creative Thinking,preschool
C3,Mengulangi kalimat panjang yang baru saja didengarnya secara presisi,General Intellectual,preschool
C30,Mengucapkan terima kasih secara sadar setelah menerima sesuatu,Creative Thinking,preschool
C31,"Mengekspresikan perasaannya (marah, sedih, gembira, cemas) secara wajar",Creative Thinking,preschool
C32,Membuat perencanaan sederhana mengenai aktivitas bermain yang ingin dilakukannya,Creative Thinking,preschool
C33,Mampu mengambil keputusan sederhana (misalnya memilih mainan atau pakaian sendiri),Creative Thinking,preschool
C34,Menggambar secara bebas dan ekspresif menggunakan krayon/spidol,Creative Thinking,preschool
C35,Mampu membedakan perbuatan yang benar dan yang salah di lingkungannya,Creative Thinking,preschool
C36,Suka menolong teman yang mengalami kesulitan atau terjatuh,Creative Thinking,preschool
C37,Mau bermain dengan siapa saja tanpa membedakan latar belakang/perbedaan fisik,Creative Thinking,preschool
C38,Menghargai hasil gambar atau susunan balok karya temannya,Creative Thinking,preschool
C39,Mengakui dan memuji keunggulan atau kemampuan yang dimiliki temannya,Creative Thinking,preschool
C4,Menyanyikan lagu anak-anak lebih dari 20 lagu yang berbeda,General Intellectual,preschool
C40,Menginisiasi permainan dengan mengajak teman-teman sekitar bergabung,Creative Thinking,preschool
C41,Mudah memberi maaf kepada teman yang tidak sengaja merusaknya/menyakitinya,Creative Thinking,preschool
C42,Dapat berinteraksi ramah dengan teman yang berbeda agama/keyakinan,Creative Thinking,preschool
C43,Memberikan pujian verbal kepada teman yang berbuat baik atau berhasil,Creative Thinking,preschool
C44,Berpakaian rapi dan menjaga kesopanan selama berada di sekolah/tempat umum,Creative Thinking,preschool
C45,"Menghormati guru, orang tua, dan orang yang berusia lebih tua",Creative Thinking,preschool
C46,Mendengarkan dengan tenang ketika guru atau temannya sedang berbicara,Creative Thinking,preschool
C47,Menjaga dan memelihara hasil karyanya sendiri agar tidak rusak,Creative Thinking,preschool
C48,Mentaati aturan dan kesepakatan dalam permainan bersama teman,Creative Thinking,preschool
C49,Berani mengajukan pertanyaan kritis dan menjawab pertanyaan guru di kelas,Leadership,preschool
C5,Dapat menyebutkan simbol-simbol huruf vokal dan konsonan yang ditunjuk,General Intellectual,preschool
C50,Bertanggung jawab merapikan mainan atau menyelesaikan tugas pribadinya,Leadership,preschool
C51,Fokus menyelesaikan tugas mandirinya dari awal sampai tuntas tanpa menyerah,Leadership,preschool
C52,"Melaksanakan 3-5 perintah berurutan dengan benar (misal: ambil buku, taruh di meja, lalu duduk)",Leadership,preschool
C53,Dapat membagi peran dan menyelesaikan tugas kelompok dengan gembira,Leadership,preschool
C54,Dapat bekerja sama secara aktif dengan teman sebayanya dalam tim,Leadership,preschool
C55,Senang berinteraksi sosial dan bergaul dengan lingkungan baru,Leadership,preschool
C56,Inisiatif membantu teman kelompoknya yang tertinggal dalam aktivitas kelas,Leadership,preschool
C57,Menengahi dan mau membantu meredakan perselisihan di antara teman bermainnya,Leadership,preschool
C58,Mau berbagi makanan atau alat tulis secara suka rela kepada teman,Leadership,preschool
C59,Meminjamkan mainan miliknya kepada teman lain tanpa paksaan,Leadership,preschool
C6,Mengucapkan syair lagu secara lantang sambil bersenandung mengikuti irama,General Intellectual,preschool
C60,Sabar mengantre atau menunggu gilirannya saat bermain bersama,Leadership,preschool
C61,Mengendalikan emosi dengan wajar saat keinginannya tidak terpenuhi,Leadership,preschool
C62,Menerima saran atau masukan sederhana dari guru/orang tua dengan tenang,Leadership,preschool
C63,Melukiskan bentuk nyata yang dilihat atau didengarnya dengan proporsi baik,Visual & Performing Arts,preschool
C64,"Mampu menggambar pola gabungan dari titik, garis, lingkaran, dan segitiga",Visual & Performing Arts,preschool
C65,"Dapat membunyikan ketukan teratur pada alat musik anak (angklung, xylophone, dll)",Visual & Performing Arts,preschool
C66,Dapat membedakan bunyi nada tinggi dan rendah dengan tepat,Visual & Performing Arts,preschool
C67,Menyelaraskan gerakan tubuh secara indah sesuai syair lagu atau musik pengiring,Visual & Performing Arts,preschool
C68,Menampilkan ekspresi emosi wajah yang teatrikal saat menari atau bercerita,Visual & Performing Arts,preschool
C69,Bermain peran secara total memerankan karakter tertentu (misal: menjadi dokter/hewan),Visual & Performing Arts,preschool
C7,Dapat mengelompokkan benda-benda sekitar berdasarkan kesamaan fungsinya,General Intellectual,preschool
C70,"Berjalan, berlari, dan melompat secara seimbang (kemampuan motorik kasar dasar)",Psychomotor,preschool
C71,Melempar dan menangkap bola kecil dengan terarah (koordinasi mata dan tangan),Psychomotor,preschool
C72,Meniti di atas papan titian atau berjalan dengan tumit ke jari kaki (keseimbangan dinamis),Psychomotor,preschool
C73,"Menggunakan sendok, garpu, dan cangkir minum sendiri dengan rapi (kemampuan motorik halus makan)",Psychomotor,preschool
C74,Membuka dan mengancingkan baju atau memakai tali sepatu sendiri (kemampuan motorik halus mandiri),Psychomotor,preschool
C75,Menyusun balok tinggi atau merangkai puzzle 12+ keping (kemampuan spasial dan susun),Psychomotor,preschool
C76,Melipat kertas menjadi bentuk sederhana seperti lipatan segitiga/amplop (kemampuan origami dasar),Psychomotor,preschool
C77,"Menggunting kertas mengikuti pola garis lurus, gelombang, atau lingkaran (kemampuan motorik koordinatif)",Psychomotor,preschool
C78,Membuka dan memutar tutup botol atau toples dengan tangan sendiri (kekuatan genggaman jari),Psychomotor,preschool
C79,Memputar mur mainan atau merakit komponen mainan bongkar pasang (keterampilan mekanik dasar),Psychomotor,preschool
C8,Meniru penulisan berbagai lambang huruf vokal dan konsonan di atas kertas,General Intellectual,preschool
C80,Memegang alat tulis (pensil/krayon) dengan tripod grasp yang benar (kontrol jemari menulis),Psychomotor,preschool
C81,Menggunakan palu mainan atau memasukkan pasak kayu ke lubangnya (koordinasi mekanis presisi),Psychomotor,preschool
C82,Berdiri dengan satu kaki selama 5-10 detik secara stabil (keseimbangan statis fisik),Psychomotor,preschool
C83,Bergantung atau berayun pada palang besi di arena bermain (kekuatan fisik lengan dan punggung),Psychomotor,preschool
C9,"Mengelompokkan peralatan makan, mandi, dan kebersihan secara terpisah",General Intellectual,preschool
T1,Dapat menyebutkan namanya sendiri dan menunjuk anggota tubuhnya,General Intellectual,toddler
T10,Tertarik mencoba memukul mainan yang berbunyi/musik,Visual & Performing Arts,toddler
T11,Bisa berlari tanpa sering terjatuh,Psychomotor,toddler
T12,Bisa memegang krayon dengan genggaman tangannya untuk mencoret,Psychomotor,toddler
T2,Dapat meniru kata-kata baru yang didengarnya,General Intellectual,toddler
T3,Dapat menghitung secara verbal 1-3 benda secara runtut,Specific Academic,toddler
T4,"Mengenal warna dasar (merah, biru, kuning)",Specific Academic,toddler
T5,Suka mencoret-coret kertas secara bebas,Creative Thinking,toddler
T6,Suka bermain pura-pura (pretend play) sederhana dengan mainannya,Creative Thinking,toddler
T7,Mau menunjukkan empati (misal memeluk temannya yang menangis),Leadership,toddler
T8,Mau mengikuti petunjuk sederhana satu langkah (misal: ambil mainan),Leadership,toddler
T9,Suka bertepuk tangan atau bergoyang saat mendengar lagu anak,Visual & Performing Arts,toddler
